Ser No.,C,Al,Cu,Fe,Mn,Ni,Ti,V,Cr,Mo,Nb,Zr,Liquidus,Term. Temp,Solidifcation Range,Tot Vol Frac BCC,Tot Vol Frac FCC,Tot Vol Frac BCC+FCC,Tot Vol Frac Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,0,1.019533165,0,2.34697788,0,5.582734726,44.21639949,0.360004762,0,23.9023775,22.57197248,0,2355.17,932.99,1422.18,0.951095003,0,0.951095003,0.048904997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,0,2.039066331,0,2.08620256,0,4.962430867,48.8817574,0.720009524,0,21.24655778,20.06397554,0,2334.4,948.49,1385.91,0.940042631,0,0.940042631,0.059957369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,0,3.058599496,0,1.82542724,0,4.342127009,53.54711532,1.080014286,0,18.59073806,17.5559786,0,2303.95,957.29,1346.66,0.945404531,0,0.945404531,0.054595469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,0,4.078132662,0,1.56465192,0,3.721823151,58.21247323,1.440019047,0,15.93491833,15.04798165,0,2262.41,962.53,1299.88,0.95564095,0,0.95564095,0.04435905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,0,5.097665827,0,1.3038766,0,3.101519292,62.87783115,1.800023809,0,13.27909861,12.53998471,0,2207.79,966.83,1240.96,0.963588568,0,0.963588568,0.036411432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,0,6.117198992,0,1.04310128,0,2.481215434,67.54318906,2.160028571,0,10.62327889,10.03198777,0,2137.06,971.8,1165.26,0.971785834,0,0.971785834,0.028214166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,0,7.136732158,0,0.78232596,0,1.860911575,72.20854698,2.520033333,0,7.967459167,7.523990827,0,2045.44,977.36,1068.08,0.978912002,0,0.978912002,0.021087998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,0,8.156265323,0,0.52155064,0,1.240607717,76.8739049,2.880038095,0,5.311639444,5.015993885,0,1926.06,993.74,932.32,0.985415736,0,0.985415736,0.014584264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,0,9.175798489,0,0.26077532,0,0.620303858,81.53926281,3.240042857,0,2.655819722,2.507996942,0,1779.14,1084.05,695.09,0.990023911,0,0.990023911,0.009976089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,0,0,7,0.37,28.7,31.03,12.5,0,0,12,8.4,0,1545.22,807.78,737.44,0.181116988,0.807277684,0.988394672,0.011605328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,0,1.019533165,6.3,0.333,25.83,27.927,19.87046207,0.360004762,0,10.8,7.56,0,1552.18,789.3,762.88,0.571154397,0.410984752,0.982139149,0.017860851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,0,2.039066331,5.6,0.296,22.96,24.824,27.24092415,0.720009524,0,9.6,6.72,0,1564.47,783.96,780.51,0.696289061,0.259211971,0.955501032,0.044498968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,0,3.058599496,4.9,0.259,20.09,21.721,34.61138622,1.080014286,0,8.4,5.88,0,1587.51,771.83,815.68,0.765740025,0.061678006,0.827418031,0.172581969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,0,4.078132662,4.2,0.222,17.22,18.618,41.98184829,1.440019047,0,7.2,5.04,0,1608.63,825.01,783.62,0.785367681,0,0.785367681,0.214632319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,0,5.097665827,3.5,0.185,14.35,15.515,49.35231036,1.800023809,0,6,4.2,0,1620.96,749.28,871.68,0.848458727,0,0.848458727,0.151541273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,0,6.117198992,2.8,0.148,11.48,12.412,56.72277244,2.160028571,0,4.8,3.36,0,1622.8,749.43,873.37,0.914176506,0,0.914176506,0.085823494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,0,7.136732158,2.1,0.111,8.61,9.309,64.09323451,2.520033333,0,3.6,2.52,0,1615.49,749.95,865.54,0.946657919,0,0.946657919,0.053342081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,0,8.156265323,1.4,0.074,5.74,6.206,71.46369658,2.880038095,0,2.4,1.68,0,1608.22,750.75,857.47,0.970047857,0,0.970047857,0.029952143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,0,9.175798489,0.7,0.037,2.87,3.103,78.83415865,3.240042857,0,1.2,0.84,0,1628.76,776.94,851.82,0.986738401,0,0.986738401,0.013261599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,0,0,0,10.22180929,0,8.510083352,34.28575431,0,0,19.33326442,27.64908863,0,2145.57,1056.97,1088.6,0.975309338,0,0.975309338,0.024690662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,0,1.019533165,0,9.199628358,0,7.659075017,39.47764095,0.360004762,0,17.39993798,24.88417977,0,2156.2,994.34,1161.86,0.990008926,0,0.990008926,0.009991074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,0,2.039066331,0,8.17744743,0,6.808066682,44.66952759,0.720009524,0,15.46661154,22.11927091,0,2157.8,956.75,1201.05,0.98664094,0,0.98664094,0.01335906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,0,3.058599496,0,7.155266501,0,5.957058347,49.86141423,1.080014286,0,13.53328509,19.35436204,0,2148.92,960.26,1188.66,0.97784517,0,0.97784517,0.02215483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,0,4.078132662,0,6.133085572,0,5.106050011,55.05330088,1.440019047,0,11.59995865,16.58945318,0,2127.96,962.58,1165.38,0.971257577,0,0.971257577,0.028742423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,0,5.097665827,0,5.110904644,0,4.255041676,60.24518752,1.800023809,0,9.66663221,13.82454432,0,2092.8,966.13,1126.67,0.9687998,0,0.9687998,0.0312002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,0,6.117198992,0,4.088723715,0,3.404033341,65.43707416,2.160028571,0,7.733305768,11.05963545,0,2040.42,969.4,1071.02,0.971584096,0,0.971584096,0.028415904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,0,7.136732158,0,3.066542786,0,2.553025006,70.6289608,2.520033333,0,5.799979326,8.294726589,0,1966.53,973.96,992.57,0.9779034,0,0.9779034,0.0220966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,0,8.156265323,0,2.044361857,0,1.70201667,75.82084744,2.880038095,0,3.866652884,5.529817726,0,1866.15,982.06,884.09,0.985174036,0,0.985174036,0.014825964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,0,9.175798489,0,1.022180929,0,0.851008335,81.01273409,3.240042857,0,1.933326442,2.764908863,0,1746.74,1006.62,740.12,0.990224,0,0.990224,0.009776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,0,0,28.74556103,5.032240118,0,27.29192683,23.48385731,15.44641471,0,0,0,0,1240.49,888.64,351.85,0.228753319,0.06933835,0.298091669,0.701908331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,0,1.019533165,25.87100493,4.529016107,0,24.56273415,29.75593365,14.261778,0,0,0,0,1143.42,834.1,309.32,0.484373557,0.054111573,0.53848513,0.46151487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,0,2.039066331,22.99644882,4.025792095,0,21.83354147,36.02800999,13.07714129,0,0,0,0,1156.4,770.92,385.48,0.86095459,0.093655664,0.954610254,0.045389746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,0,3.058599496,20.12189272,3.522568083,0,19.10434878,42.30008633,11.89250459,0,0,0,0,1160.58,755.52,405.06,0.87717417,0.007900709,0.885074879,0.114925121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,0,4.078132662,17.24733662,3.019344071,0,16.3751561,48.57216267,10.70786788,0,0,0,0,1134.45,906.63,227.82,0.898932059,0,0.898932059,0.101067941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,0,5.097665827,14.37278051,2.516120059,0,13.64596342,54.84423902,9.523231166,0,0,0,0,1093.78,916.13,177.65,0.911922761,0,0.911922761,0.088077239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,0,6.117198992,11.49822441,2.012896047,0,10.91677073,61.11631536,8.338594457,0,0,0,0,1224.29,911.08,313.21,0.955060801,0,0.955060801,0.044939199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,0,7.136732158,8.623668309,1.509672036,0,8.18757805,67.3883917,7.153957747,0,0,0,0,1357.68,907.56,450.12,0.975536374,0,0.975536374,0.024463626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,0,8.156265323,5.749112206,1.006448024,0,5.458385367,73.66046804,5.969321038,0,0,0,0,1480.2,918.22,561.98,0.988642519,0,0.988642519,0.011357481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,0,9.175798489,2.874556103,0.503224012,0,2.729192683,79.93254439,4.784684328,0,0,0,0,1588.79,1063.38,525.41,0.990076174,0,0.990076174,0.009923826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,0,0,10,0.1,41,43.9,5,0,0,0,0,0,989.31,864.21,125.1,0,0.990013066,0.990013066,0.009986934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,0,0,9,0.09,36.9,39.51,11,0,0,0.5,1,2,888.48,853.16,35.32,0.137085698,0.852264845,0.989350542,0.010649458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,0,0,8,0.08,32.8,35.12,17,0,0,1,2,4,1229.43,805.1,424.33,0.287556901,0.705529273,0.993086174,0.006913826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,0,0,7,0.07,28.7,30.73,23,0,0,1.5,3,6,1377.13,801.5,575.63,0.526094731,0.395672008,0.921766739,0.078233261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,0,0,6,0.06,24.6,26.34,29,0,0,2,4,8,1417.77,799.3,618.47,0.639639452,0.129699512,0.769338964,0.230661036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,0,0,5,0.05,20.5,21.95,35,0,0,2.5,5,10,1409.51,798.67,610.84,0.705793376,0,0.705793376,0.294206624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0,0,4,0.04,16.4,17.56,41,0,0,3,6,12,1554.93,749.68,805.25,0.228135096,0,0.228135096,0.771864904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,0,0,3,0.03,12.3,13.17,47,0,0,3.5,7,14,1671.15,736.96,934.19,0.33382531,0,0.33382531,0.66617469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,0,0,2,0.02,8.2,8.78,53,0,0,4,8,16,1762.86,779.38,983.48,0.551361347,0,0.551361347,0.448638653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,0,0,1,0.01,4.1,4.39,59,0,0,4.5,9,18,1835.13,855.46,979.67,0.781767228,0,0.781767228,0.218232772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,0,0,3.02,0,12.39,13.97,22.67,0,0,28.21,19.74,0,2092.15,787.36,1304.79,0.782741839,0.184031404,0.966773243,0.033226757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,0.022989902,0,2.718,6.917508633,11.25152485,13.51393577,20.403,0,2.018040845,25.389,17.766,0,1942.05,788.55,1153.5,0.70037796,0.165925842,0.866303802,0.133696198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,0.045979804,0,2.416,13.83501727,10.1130497,13.05787154,18.136,0,4.03608169,22.568,15.792,0,1799.76,823.28,976.48,0.568284209,0.152033704,0.720317913,0.279682087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,0.068969707,0,2.114,20.7525259,8.974574555,12.6018073,15.869,0,6.054122535,19.747,13.818,0,1665.31,828.23,837.08,0.379788877,0.18595388,0.565742758,0.434257242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,0.091959609,0,1.812,27.67003453,7.836099407,12.14574307,13.602,0,8.072163381,16.926,11.844,0,1536.07,845.85,690.22,0.244892448,0.19331372,0.438206167,0.561793833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,0.114949511,0,1.51,34.58754316,6.697624259,11.68967884,11.335,0,10.09020423,14.105,9.87,0,1407.8,862.21,545.59,0.117541323,0.210102085,0.327643407,0.672356593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,0.137939413,0,1.208,41.5050518,5.55914911,11.23361461,9.068,0,12.10824507,11.284,7.896,0,1388.24,864.12,524.12,5.57569E-05,0.256769627,0.256825384,0.743174616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,0.160929315,0,0.906,48.42256043,4.420673962,10.77755038,6.801,0,14.12628592,8.463,5.922,0,1362.56,954.83,407.73,0.310008753,0.263636941,0.573645694,0.426354306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.183919218,0,0.604,55.34006906,3.282198814,10.32148615,4.534,0,16.14432676,5.642,3.948,0,1294.91,1021.46,273.45,0.508762722,0.28447486,0.793237582,0.206762418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,0.20690912,0,0.302,62.25757769,2.143723666,9.865421914,2.267,0,18.16236761,2.821,1.974,0,1371.53,1134.96,236.57,0.616608816,0.311754773,0.928363589,0.071636411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,0,0,0,7.492163622,0,8.316719036,40.79079035,0,0,26.88758418,16.51274282,0,2201.38,953.49,1247.89,0.952994161,0,0.952994161,0.047005839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,0,1.019533165,0,6.74294726,0,7.485047133,45.33217339,0.360004762,0,24.19882576,14.86146853,0,2201.17,956.04,1245.13,0.922636458,0,0.922636458,0.077363542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,0,2.039066331,0,5.993730898,0,6.653375229,49.87355642,0.720009524,0,21.51006734,13.21019425,0,2192.63,957.55,1235.08,0.90520436,0,0.90520436,0.09479564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,0,3.058599496,0,5.244514535,0,5.821703325,54.41493946,1.080014286,0,18.82130892,11.55891997,0,2174.47,959.74,1214.73,0.904129506,0,0.904129506,0.095870494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,0,4.078132662,0,4.495298173,0,4.990031422,58.9563225,1.440019047,0,16.13255051,9.90764569,0,2145.27,961.06,1184.21,0.925262314,0,0.925262314,0.074737686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,0,5.097665827,0,3.746081811,0,4.158359518,63.49770554,1.800023809,0,13.44379209,8.256371408,0,2103.2,963.56,1139.64,0.947620762,0,0.947620762,0.052379238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,0,6.117198992,0,2.996865449,0,3.326687614,68.03908858,2.160028571,0,10.75503367,6.605097126,0,2045.67,967.29,1078.38,0.965055101,0,0.965055101,0.034944899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,0,7.136732158,0,2.247649087,0,2.495015711,72.58047161,2.520033333,0,8.066275254,4.953822845,0,1968.85,971.58,997.27,0.97827916,0,0.97827916,0.02172084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,0,8.156265323,0,1.498432724,0,1.663343807,77.12185465,2.880038095,0,5.377516836,3.302548563,0,1868.2,980.24,887.96,0.98670806,0,0.98670806,0.01329194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,0,9.175798489,0,0.749216362,0,0.831671904,81.66323769,3.240042857,0,2.688758418,1.651274282,0,1750.76,1010.63,740.13,0.990161238,0,0.990161238,0.009838762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,0,0,29.12732731,10.04362801,0,21.97943085,23.43520197,15.41441186,0,0,0,0,1136.61,887.92,248.69,0.241369086,0.082699382,0.324068468,0.675931532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,0,1.019533165,26.21459458,9.039265212,0,19.78148776,29.71214385,14.23297544,0,0,0,0,1104.97,836.01,268.96,0.538214642,0.098233108,0.636447749,0.363552251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,0,2.039066331,23.30186185,8.034902411,0,17.58354468,35.98908572,13.05153901,0,0,0,0,1123.19,764,359.19,0.745877013,0.09232014,0.838197152,0.161802848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,0,3.058599496,20.38912912,7.030539609,0,15.38560159,42.2660276,11.87010259,0,0,0,0,1123.51,755.38,368.13,0.764189681,0.004509741,0.768699422,0.231300578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,0,4.078132662,17.47639638,6.026176808,0,13.18765851,48.54296947,10.68866616,0,0,0,0,1099.12,912.98,186.14,0.818275789,0,0.818275789,0.181724211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,0,5.097665827,14.56366365,5.021814007,0,10.98971542,54.81991135,9.507229739,0,0,0,0,1085.34,906.23,179.11,0.886287406,0,0.886287406,0.113712594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
